"external_id","name","name_ar","name_en","name_ku","phone_number","whatsapp","governorate","governorate_ar","category","subcategory","address","city","website","email","facebook","instagram","description","latitude","longitude","rating","source"
"IQ000047","مرتضى الهاشمي","مرتضى الهاشمي","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.072082","44.353596","","OpenStreetMap"
"IQ000059","صيرفة الشمري","","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.056472","44.358222","","OpenStreetMap"
"IQ000060","كرار الطائي","كرار الطائي","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.054507","44.358269","","OpenStreetMap"
"IQ000061","سعد العبيدي","سعد العبيدي","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.054356","44.361233","","OpenStreetMap"
"IQ000066","الوسام","الوسام","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.058456","44.36545","","OpenStreetMap"
"IQ000067","رافدين المحمودية","رافدين المحمودية","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.05833","44.363214","","OpenStreetMap"
"IQ000068","مالك المعموري","مالك المعموري","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.057543","44.367603","","OpenStreetMap"
"IQ000069","برج الساحل","برج الساحل","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.059362","44.365833","","OpenStreetMap"
"IQ000070","الوان المحمودية","الوان المحمودية","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.056057","44.365178","","OpenStreetMap"
"IQ000071","الحاج صادق","الحاج صادق","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.058065","44.365408","","OpenStreetMap"
"IQ000072","كوثر المحمودية","كوثر المحمودية","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.056567","44.36327","","OpenStreetMap"
"IQ000073","نور المحمودية","نور المحمودية","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.057137","44.363561","","OpenStreetMap"
"IQ000074","احباب التقى","احباب التقى","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.056936","44.363321","","OpenStreetMap"
"IQ000075","ابو ظبي","ابو ظبي","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.057339","44.366943","","OpenStreetMap"
"IQ000076","صادق الخفاجي","صادق الخفاجي","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.056098","44.365474","","OpenStreetMap"
"IQ000077","مصطفى الربيعي","مصطفى الربيعي","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.05429","44.365196","","OpenStreetMap"
"IQ000081","ميسرة الرحمن","ميسرة الرحمن","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.06154","44.366087","","OpenStreetMap"
"IQ000085","صيدلية شفاء الشمس - Pharmacy Sfaii Alshams","","Pharmacy Sfaii Alshams","","","","Baghdad","بغداد","amenity","pharmacy","المحمودية","المحمودية","https://www.instagram.com/pharmacyshamshussein/profilecard/?igsh=MTZ0Zml5N28xZWRtbQ%3D%3D","","","","","33.066286","44.358348","","OpenStreetMap"
"IQ000089","ممدوح","ممدوح","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.068322","44.362269","","OpenStreetMap"
"IQ000090","محمد الربيعي","محمد الربيعي","","","","","Baghdad","بغداد","amenity","bureau_de_change","المحمودية","المحمودية","","","","","","33.068187","44.364346","","OpenStreetMap"
"IQ000103","مركز دفاع مدني الرشــــد","مركز دفاع مدني الرشــــد","مركز دفاع مدني الرشــــد","مركز دفاع مدني الرشــــد","","","Baghdad","بغداد","amenity","police","مجمع الطرق والجسور, Baghdad","Baghdad","","","","","","33.118371","44.356682","","OpenStreetMap"
"IQ000107","بئر السلام","بئر السلام","","","","","Baghdad","بغداد","amenity","bureau_de_change","Baghdad","Baghdad","","","","","","33.120166","44.366161","","OpenStreetMap"
"IQ000108","الروان2","الروان2","","","","","Baghdad","بغداد","amenity","bureau_de_change","Baghdad","Baghdad","","","","","","33.119977","44.367535","","OpenStreetMap"
"IQ000109","القوس","القوس","","","","","Baghdad","بغداد","amenity","bureau_de_change","Baghdad","Baghdad","","","","","","33.121139","44.366028","","OpenStreetMap"
"IQ000110","اليعسوب","اليعسوب","","","","","Baghdad","بغداد","amenity","bureau_de_change","Baghdad","Baghdad","","","","","","33.120065","44.367504","","OpenStreetMap"
"IQ000111","الفيض الوفير","الفيض الوفير","","","","","Baghdad","بغداد","amenity","bureau_de_change","Baghdad","Baghdad","","","","","","33.11994","44.367658","","OpenStreetMap"
"IQ000112","عسل الرشيد","عسل الرشيد","","","","","Baghdad","بغداد","amenity","bureau_de_change","Baghdad","Baghdad","","","","","","33.119847","44.366856","","OpenStreetMap"
"IQ000113","الروان","الروان","","","","","Baghdad","بغداد","amenity","bureau_de_change","Baghdad","Baghdad","","","","","","33.120134","44.366922","","OpenStreetMap"
"IQ000119","Toby","","","","","","Baghdad","بغداد","amenity","telephone","Baghdad","Baghdad","","","","","","33.117573","44.369569","","OpenStreetMap"
"IQ000123","تاج الرجال","تاج الرجال","","","","","Baghdad","بغداد","amenity","bureau_de_change","Baghdad","Baghdad","","","","","","33.119168","44.369759","","OpenStreetMap"
"IQ000124","نوارس الرشيد","نوارس الرشيد","","","","","Baghdad","بغداد","amenity","bureau_de_change","Baghdad","Baghdad","","","","","","33.120073","44.368046","","OpenStreetMap"
"IQ000139","باب الريان","","","","","","Baghdad","بغداد","amenity","place_of_worship","البيجه قرب بيت الشهيد الغدور حسام الحمد, Baghdad","Baghdad","","","","","","33.149206","44.515277","","OpenStreetMap"
"IQ000152","حساني","حساني","","","","","Baghdad","بغداد","amenity","bureau_de_change","المدائن","المدائن","","","","","","33.09677","44.5844","","OpenStreetMap"
"IQ000174","اسماعيل الحاج محمد الكاظم","","","","","","Baghdad","بغداد","amenity","nursing_home","Baghdad","Baghdad","","","","","","33.100215","44.581618","","OpenStreetMap"
"IQ000176","بشار كوم","بشار كوم","","","","","Baghdad","بغداد","amenity","bureau_de_change","المدائن","المدائن","","","","","","33.100248","44.579805","","OpenStreetMap"
"IQ000177","سلمان المحمدي","سلمان المحمدي","","","","","Baghdad","بغداد","amenity","bureau_de_change","المدائن","المدائن","","","","","","33.103174","44.577699","","OpenStreetMap"
"IQ000178","حبيب المصطفى","حبيب المصطفى","","","","","Baghdad","بغداد","amenity","bureau_de_change","المدائن","المدائن","","","","","","33.104728","44.578959","","OpenStreetMap"
"IQ000179","سما العالمية","سما العالمية","","","","","Baghdad","بغداد","amenity","bureau_de_change","المدائن","المدائن","","","","","","33.103797","44.580747","","OpenStreetMap"
"IQ000180","سما","سما","","","","","Baghdad","بغداد","amenity","bureau_de_change","المدائن","المدائن","","","","","","33.09982","44.580977","","OpenStreetMap"
"IQ000209","مكتبة خدمتك","مكتبة خدمتك","KhidmaTec","","","","Baghdad","بغداد","amenity","library","Baghdad","Baghdad","https://web.facebook.com/khidmaTec","","","","","33.145431","44.657501","","OpenStreetMap"
"IQ000223","عين العرب","عين العرب","","","","","Baghdad","بغداد","amenity","bureau_de_change","ابو غريب","ابو غريب","","","","","","33.306745","44.030686","","OpenStreetMap"
"IQ000224","سبايدر فون","سبايدر فون","","","","","Baghdad","بغداد","amenity","bureau_de_change","ابو غريب","ابو غريب","","","","","","33.307584","44.029348","","OpenStreetMap"
"IQ000225","النصر والسلام","النصر والسلام","","","","","Baghdad","بغداد","amenity","bureau_de_change","ابو غريب","ابو غريب","","","","","","33.306773","44.030658","","OpenStreetMap"
"IQ000227","ابهى","ابهى","","","","","Baghdad","بغداد","amenity","bureau_de_change","ابو غريب","ابو غريب","","","","","","33.304184","44.036125","","OpenStreetMap"
"IQ000248","ديفان","","Divan","","","","Baghdad","بغداد","amenity","restaurant","Baghdad","Baghdad","","","","","","33.244528","44.243103","","OpenStreetMap"
"IQ000252","صقر العراق","صقر العراق","","","","","Baghdad","بغداد","amenity","bureau_de_change","ابو غريب","ابو غريب","","","","","","33.292798","44.056923","","OpenStreetMap"
"IQ000259","محمد الماهر","محمد الماهر","","","","","Baghdad","بغداد","amenity","bureau_de_change","ابو غريب","ابو غريب","","","","","","33.295623","44.057983","","OpenStreetMap"
