"name","phone","governorate","category","address"
,"+9647700000000","baghdad","services",
,"9647529460621","wasit","real_estate",
,"9647844120199","wasit","real_estate",
,"9647109089562","wasit","real_estate",
,"9647122700204","wasit","real_estate",
,"9647186456755","wasit","real_estate",
,"9647192141415","wasit","real_estate",
,"9647904630527","wasit","real_estate",
,"9647436433715","wasit","real_estate",
,"9647799128084","wasit","real_estate",
,"9647772315252","wasit","restaurant",
,"9647951509541","wasit","restaurant",
,"9647850231159","wasit","restaurant",
,"9647279319599","wasit","restaurant",
,"9647484338048","wasit","restaurant",
,"9647561736540","wasit","restaurant",
,"9647281564047","wasit","restaurant",
,"9647353585429","wasit","university",
,"9647746555704","wasit","university",
,"9647861223532","wasit","university",
,"9647134214604","wasit","other",
,"9647485142715","wasit","other",
,"9647285227614","wasit","other",
,"9647381575520","wasit","other",
,"9647796830335","wasit","other",
,"9647618519899","wasit","supermarket",
,"9647608775494","wasit","supermarket",
,"9647382937546","wasit","supermarket",
,"9647390702429","wasit","supermarket",
,"9647786773480","wasit","supermarket",
,"9647157892759","wasit","supermarket",
,"9647233757419","wasit","travel_agency",
,"9647513399131","wasit","travel_agency",
,"9647495845789","wasit","travel_agency",
,"9647791944524","wasit","travel_agency",
,"9647500463158","wasit","travel_agency",
,"9647197546320","wasit","travel_agency",
,"9647419515883","wasit","travel_agency",
,"9647623364570","wasit","travel_agency",
,"9647234760004","wasit","travel_agency",
,"9647631642361","wasit","travel_agency",
,"9647996656939","wasit","travel_agency",
,"9647771443187","wasit","university",
,"9647150954731","wasit","university",
,"9647727274386","wasit","university",
,"9647988190448","wasit","university",
,"9647982281715","anbar","salon",
,"9647927439991","anbar","salon",
,"9647795935283","anbar","salon",
,"9647803184994","anbar","salon",
,"9647872370881","anbar","construction_company",
,"9647995457081","anbar","construction_company",
,"9647762665112","anbar","construction_company",
,"9647934541190","anbar","construction_company",
,"9647777085029","anbar","construction_company",
,"9647948713551","anbar","construction_company",
,"9647785277554","anbar","university",
,"9647944361901","anbar","university",
,"9647809794617","anbar","university",
,"9647838815831","anbar","mobile_shop",
,"9647873371494","anbar","mobile_shop",
,"9647787010076","anbar","mobile_shop",
,"9647869681460","anbar","gym",
,"9647912691700","anbar","gym",
,"9647993396358","anbar","gym",
,"9647879997433","anbar","gym",
,"9647949143489","anbar","gym",
,"9647919214227","anbar","clinic",
,"9647863793053","anbar","clinic",
,"9647831822807","anbar","hotel",
,"9647946106285","anbar","hotel",
,"9647946785096","anbar","real_estate",
,"9647796091224","anbar","real_estate",
,"9647831167573","anbar","real_estate",
,"9647708285472","anbar","real_estate",
,"9647735217627","anbar","real_estate",
,"9647955060201","anbar","restaurant",
,"9647993100683","anbar","restaurant",
,"9647888167901","anbar","restaurant",
,"9647938448853","anbar","restaurant",
,"9647737854269","anbar","restaurant",
,"9647793803361","anbar","restaurant",
,"9647794255595","anbar","restaurant",
,"9647857021501","anbar","restaurant",
,"9647247727734","anbar","bank",
,"9647352775321","anbar","bank",
,"9647968874754","anbar","bank",
,"9647145426015","anbar","bank",
,"9647866414638","anbar","bank",
,"9647192105074","anbar","bank",
,"9647693450914","anbar","bank",
,"9647993615116","anbar","bank",
,"9647314471359","anbar","bank",
,"9647362244891","anbar","bank",
,"9647639059449","anbar","bank",
,"9647182970912","anbar","bank",
,"9647200962077","anbar","bank",
,"9647288903853","anbar","bank",
,"9647434979735","anbar","bank",
,"9647333111276","anbar","bank",
,"9647532515412","anbar","bank",
,"9647666554647","anbar","bank",
,"9647338605430","anbar","bank",
,"9647700084200","anbar","bank",
,"9647679618120","anbar","bank",
,"9647350781238","anbar","salon",
,"9647163103329","anbar","salon",
,"9647392272659","anbar","salon",
,"9647909073205","anbar","salon",
,"9647222398289","anbar","salon",
,"9647966983700","anbar","salon",
,"9647381057236","anbar","cafe_bakery",
,"9647957434189","anbar","cafe_bakery",
,"9647140917194","anbar","cafe_bakery",
,"9647569097863","anbar","cafe_bakery",
,"9647620502270","anbar","cafe_bakery",
,"9647653470655","anbar","cafe_bakery",
,"9647194636989","anbar","cafe_bakery",
,"9647203887816","anbar","clinic",
,"9647511629553","anbar","clinic",
,"9647653953993","anbar","clinic",
,"9647231845634","anbar","clinic",
,"9647560769199","anbar","clinic",
,"9647908202920","anbar","clinic",
,"9647996633227","anbar","clinic",
,"9647414141373","anbar","clinic",
,"9647586927199","anbar","clinic",
,"9647538931060","anbar","clinic",
,"9647756330124","anbar","clinic",
,"9647231417203","anbar","clinic",
,"9647208415065","anbar","clothing_store",
,"9647176149344","anbar","clothing_store",
,"9647210908957","anbar","clothing_store",
,"9647746140691","anbar","clothing_store",
